MapDist,Boolean Total,Fuzzy Total,Difference
MapDist1,111.58061895109378,109.99143924179586,-1.5891797092979232
MapDist2,108.18319683091349,106.72632902214707,-1.4568678087664182
MapDist3,109.09294128499162,107.7086416463529,-1.3842996386387227
MapDist4,111.87783629791323,110.0971912413927,-1.780645056520541
MapDist5,113.12476189568207,111.58105797950293,-1.5437039161791404
MapDist6,113.66355346946314,111.77675789461931,-1.8867955748438305
MapDist7,109.24268159148268,108.26778446370443,-0.9748971277782488
MapDist8,110.51150205929164,109.12399671255007,-1.3875053467415768
MapDist9,109.39813918845286,107.6581761158865,-1.7399630725663542
MapDist10,111.87760617920968,111.13172139748507,-0.7458847817246124
MapDist11,113.82715593131991,112.28877644185332,-1.5383794894665925
MapDist12,108.1408773991448,107.18340080051772,-0.9574765986270819
MapDist13,110.9869532225789,109.0099240717453,-1.9770291508336015
MapDist14,112.01360993893142,110.60176965002478,-1.411840288906646
MapDist15,113.74556588252024,112.5474841524861,-1.1980817300341329
MapDist16,110.36171637994391,108.52941553748299,-1.8323008424609242
MapDist17,109.5718305244285,108.4394785400062,-1.1323519844223
MapDist18,111.53377089641404,109.9591729679913,-1.5745979284227474
MapDist19,108.35572343359703,107.10834256032868,-1.2473808732683551
MapDist20,109.75046789576754,108.70541303332804,-1.0450548624394997
MapDist21,115.21543762816682,114.05424417927188,-1.1611934488949487
MapDist22,111.72429274172143,110.60283402770227,-1.1214587140191554
MapDist23,108.19582939486827,107.19140208617524,-1.0044273086930247
MapDist24,111.51397568372818,110.26341343445486,-1.2505622492733153
MapDist25,110.38956703913257,108.7573363318239,-1.632230707308679
MapDist26,110.43774944193835,109.09517170694035,-1.3425777349980024
MapDist27,106.61380807877478,105.70682315593852,-0.9069849228362585
MapDist28,111.79582568714487,110.15182303975877,-1.6440026473861025
MapDist29,110.4869725134539,108.89415032187307,-1.5928221915808365
MapDist30,112.61182239960236,111.8077585023868,-0.8040638972155563
MapDist31,129.82277527574013,129.1753696514566,-0.6474056242835218
MapDist32,128.62894479010222,127.81274401368653,-0.8162007764156982
MapDist33,129.9678188789423,128.75023937735853,-1.2175795015837707
MapDist34,126.625160066979,125.32868950543254,-1.296470561546471
MapDist35,128.64144371786472,127.66822125280598,-0.9732224650587398
